taxonomy_version	code	parent_code	level	label	definition
1.0	01		1	Entertainment	Narrative-first content meant to amuse, engage, or emotionally hook. Includes skits, dramas, pop culture, celebrity content.
1.0	01.01	01	2	Movies & TV	Narrative content about scripted entertainment — includes reviews, recaps, breakdowns, and lore analysis.
1.0	01.01.01	01.01	3	Film Reviews	Critiques or analyzes films with a focus on storytelling, cinematography, themes, or cultural relevance.
1.0	01.01.01.01	01.01.01	4	Blockbuster Critiques	Analyzes major studio films with a focus on story, spectacle, and cultural relevance.
1.0	01.01.01.01.41	01.01.01.01	5	Reviews	Evaluates and shares opinions on a product, service, or media item.
1.0	01.01.01.02	01.01.01	4	Indie Film Analysis	Explores indie cinema through critical reflection, narrative themes, and artistic style.
1.0	01.01.01.02.15	01.01.01.02	5	Explained	Simplifies a topic or concept through accessible language and examples.
1.0	01.01.01.02.24	01.01.01.02	5	Lists	Presents a ranked or grouped set of recommendations, facts, or ideas.
1.0	01.01.02	01.01	3	TV Recaps	Summarizes, comments on, or dissects episodes or arcs from scripted television series.
1.0	01.01.02.03	01.01.02	4	Episode Summaries	Summarizes episodes through plot breakdowns, character arcs, and major developments.
1.0	01.01.02.03.38	01.01.02.03	5	Recap	Summarizes key events, lessons, or takeaways from a larger experience or episode.
1.0	01.01.02.03.59	01.01.02.03	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	01.01.02.04	01.01.02	4	Season Highlights	Highlights seasonal arcs or finales with emphasis on narrative payoff or fan impact.
1.0	01.01.02.04.22	01.01.02.04	5	Highlight	Shows standout or peak moments from a longer piece of content or event.
1.0	01.01.02.04.27	01.01.02.04	5	Montage	A fast-paced edit showing a sequence of related visuals or actions, often set to music.
1.0	01.02	01	2	Comedy	Humor-forward content designed to entertain through skits, satire, parody, improv, or stand-up.
1.0	01.02.03	01.02	3	Skits	Performs short, scripted scenes for humor or storytelling, often shared as standalone sketches.
1.0	01.02.03.05	01.02.03	4	Short-Form Sketches	Short scripted comedy or narrative sketches designed for quick, shareable impact.
1.0	01.02.03.06	01.02.03	4	Improv Scenes	Improvised comedy content featuring spontaneous dialogue and unpredictable scenarios.
1.0	01.02.03.06.03	01.02.03.06	5	Behind-the-Scenes	Reveals the process or preparation behind a finished product or performance.
1.0	01.02.03.06.25	01.02.03.06	5	Live	Content streamed in real-time, often interactive or unedited.
1.0	01.02.04	01.02	3	Stand-Up	Solo comedic performances delivered to a live or virtual audience, often observational or narrative in tone.
1.0	01.02.04.07	01.02.04	4	Live Routines	Captures live comedic or performative routines, often in stand-up or stage settings.
1.0	01.02.04.07.25	01.02.04.07	5	Live	Content streamed in real-time, often interactive or unedited.
1.0	01.02.04.07.36	01.02.04.07	5	Rant	Expresses strong opinion or frustration in an unfiltered, emotional format.
1.0	01.02.04.08	01.02.04	4	Comedy Specials	Long-form recorded comedy specials with structured pacing and audience engagement.
1.0	01.02.04.08.33	01.02.04.08	5	Podcasts	Long-form audio or video conversations, usually structured around topics or guests.
1.0	01.02.04.08.41	01.02.04.08	5	Reviews	Evaluates and shares opinions on a product, service, or media item.
1.0	01.03	01	2	Music & Performance	Live or recorded expression through music, dance, acting, or talent-based performance.
1.0	01.03.05	01.03	3	Music Videos	Music paired with visual storytelling or aesthetic presentation for artistic or promotional purposes.
1.0	01.03.05.09	01.03.05	4	Pop Releases	Showcases professionally released music content for mainstream distribution.
1.0	01.03.05.09.27	01.03.05.09	5	Montage	A fast-paced edit showing a sequence of related visuals or actions, often set to music.
1.0	01.03.05.10	01.03.05	4	Indie Clips	Highlights independently produced music videos or audio-visual experiments.
1.0	01.03.05.10.14	01.03.05.10	5	DIY	Demonstrates how a product or process works, often in real-time.
1.0	01.03.05.10.46	01.03.05.10	5	Showcase	Displays the features or value of a single product, creation, or talent.
1.0	01.03.06	01.03	3	Live Performances	Live or recorded artistic showcases of music, theater, dance, or performance-based disciplines.
1.0	01.03.06.11	01.03.06	4	Concert Footage	Features footage from concerts, festivals, or live musical events with audience engagement.
1.0	01.03.06.11.22	01.03.06.11	5	Highlight	Shows standout or peak moments from a longer piece of content or event.
1.0	01.03.06.11.25	01.03.06.11	5	Live	Content streamed in real-time, often interactive or unedited.
1.0	01.03.06.12	01.03.06	4	Street Shows	Street-level performances including dance, theater, or busking recorded in public spaces.
1.0	01.03.06.12.30	01.03.06.12	5	Performance	Content where the creator performs music, art, theater, or physical feats for the audience.
1.0	01.03.06.12.59	01.03.06.12	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	02		1	Education	Purpose is to teach, explain, or transfer skills. Includes tutorials, explainers, language learning, academic breakdowns.
1.0	02.04	02	2	Academic	Formal subject matter rooted in school or university disciplines — often structured and instructional.
1.0	02.04.07	02.04	3	Math Lessons	Teaches math concepts or problem-solving using clear, step-by-step visual instruction.
1.0	02.04.07.13	02.04.07	4	Algebra Basics	Simplifies core algebra concepts using visuals and real-world examples for beginner learners.
1.0	02.04.07.13.15	02.04.07.13	5	Explained	Simplifies a topic or concept through accessible language and examples.
1.0	02.04.07.13.56	02.04.07.13	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	02.04.07.14	02.04.07	4	Calculus Concepts	Introduces calculus principles like derivatives and integrals through conceptual breakdowns.
1.0	02.04.07.14.19	02.04.07.14	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	02.04.07.14.35	02.04.07.14	5	Q&A	Answers audience-submitted or pre-generated questions in a conversational tone.
1.0	02.04.08	02.04	3	History Lessons	Explains historical events, timelines, figures, or cultural eras through narrative or analysis.
1.0	02.04.08.15	02.04.08	4	Ancient Civilizations	Presents historical timelines, leaders, and civilizations through artifacts and analysis.
1.0	02.04.08.15.29	02.04.08.15	5	Overview	Presents a broad explanation of a topic, usually without deep technical detail.
1.0	02.04.08.15.48	02.04.08.15	5	Storytime	Shares a personal or fictional narrative with a hook, pacing, and emotional arc.
1.0	02.04.08.16	02.04.08	4	Modern Events	Explains recent historical developments and their impact on contemporary society.
1.0	02.04.08.16.04	02.04.08.16	5	Breakdown	Dissects a topic into parts for clarity, often using visuals or step-by-step commentary.
1.0	02.04.08.16.58	02.04.08.16	5	Update	Provides a status report or change log on an ongoing story, project, or journey.
1.0	02.05	02	2	Skills & DIY	Instructional content teaching practical, hands-on tasks like repairs, crafts, or creative builds.
1.0	02.05.09	02.05	3	Coding Tutorials	Tutorials or walkthroughs that teach how to code, build, or deploy software applications.
1.0	02.05.09.17	02.05.09	4	Web Development	Teaches how to build websites through HTML, CSS, and JavaScript foundations.
1.0	02.05.09.17.56	02.05.09.17	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	02.05.09.17.60	02.05.09.17	5	Walkthrough	Leads the viewer through a process, system, or game with detailed explanation.
1.0	02.05.09.18	02.05.09	4	App Coding	Demonstrates mobile or cross-platform app creation from design to deployment.
1.0	02.05.09.18.13	02.05.09.18	5	Demo	Explores a topic in high detail, usually beyond surface-level information.
1.0	02.05.09.18.52	02.05.09.18	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	02.05.10	02.05	3	Crafting Guides	Instructional content showing how to create objects, crafts, or handmade products step by step.
1.0	02.05.10.19	02.05.10	4	Woodworking	Walks through hands-on woodworking projects from materials to finishing techniques.
1.0	02.05.10.19.14	02.05.10.19	5	DIY	Demonstrates how a product or process works, often in real-time.
1.0	02.05.10.19.56	02.05.10.19	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	02.05.10.20	02.05.10	4	Sewing Projects	Guides viewers through sewing construction, stitching techniques, and fabric selection.
1.0	02.05.10.20.19	02.05.10.20	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	02.05.10.20.46	02.05.10.20	5	Showcase	Displays the features or value of a single product, creation, or talent.
1.0	02.06	02	2	Science & Discovery	Content exploring physical, natural, or theoretical phenomena with curiosity and explanation.
